site,model,baseline_pe,baseline_ci,naive_pe,naive_ci,ppi_pe,ppi_ci,ppi_lhat,ppi_se
mexico,KNN,[[ 0.01251579  0.00399583 -0.02938669  0.04290408]],"[[[ 0.00745418  0.0175774 ]]

 [[-0.00158093  0.00957259]]

 [[-0.03947504 -0.01929834]]

 [[ 0.03854903  0.04725912]]]",[[ 0.00011151 -0.00022515 -0.0128256   0.04670175]],"[[[-0.00612879  0.00635181]]

 [[-0.00649538  0.00604507]]

 [[-0.02051245 -0.00513874]]

 [[ 0.04210176  0.05130174]]]",[ 0.01435741 -0.00823518 -0.01918385  0.04426635],"(array([ 0.00227731, -0.01840376, -0.041147  ,  0.03732461]), array([0.02643751, 0.0019334 , 0.0027793 , 0.05120809]))",0.1347418626418477,[0.00734418 0.00618206 0.01335265 0.00422028]
mexico,NB,[[ 0.01251579  0.00399583 -0.02938669  0.04290408]],"[[[ 0.00745418  0.0175774 ]]

 [[-0.00158093  0.00957259]]

 [[-0.03947504 -0.01929834]]

 [[ 0.03854903  0.04725912]]]",[[ 0.0210184   0.01492495 -0.02564758  0.09023738]],"[[[ 0.00738743  0.03464937]]

 [[ 0.00068164  0.02916826]]

 [[-0.0481777  -0.00311746]]

 [[ 0.078455    0.10201976]]]",[ 0.01552503 -0.00728788 -0.02043295  0.04561626],"(array([ 0.00362652, -0.01781724, -0.0449222 ,  0.03810441]), array([0.02742354, 0.00324147, 0.0040563 , 0.05312811]))",0.6487147129487773,[0.00723378 0.00640139 0.01488841 0.00456688]
mexico,bert,[[ 0.01251579  0.00399583 -0.02938669  0.04290408]],"[[[ 0.00745418  0.0175774 ]]

 [[-0.00158093  0.00957259]]

 [[-0.03947504 -0.01929834]]

 [[ 0.03854903  0.04725912]]]",[[0.01972783 0.06115925 0.01225632 0.08184039]],"[[[ 0.00652206  0.0329336 ]]

 [[ 0.04965909  0.07265941]]

 [[-0.00175172  0.02626436]]

 [[ 0.07044985  0.09323093]]]",[ 0.01513981 -0.00346957 -0.02031198  0.04476595],"(array([ 0.00278088, -0.01275375, -0.0446409 ,  0.03759806]), array([0.02749875, 0.00581461, 0.00401694, 0.05193385]))",0.016621309078555024,[0.0075137  0.00564438 0.01479093 0.00435777]
mexico,gpt4_zs,[[ 0.01105558  0.00707563 -0.01664798  0.04080454]],"[[[ 0.00324667  0.01886449]]

 [[-0.00108266  0.01523391]]

 [[-0.02851652 -0.00477944]]

 [[ 0.0341572   0.04745187]]]",[[ 0.00281033  0.01434526 -0.01590522  0.04757801]],"[[[-0.00713891  0.01275957]]

 [[ 0.00557322  0.0231173 ]]

 [[-0.02924898 -0.00256145]]

 [[ 0.03997944  0.05517659]]]",[ 0.00629939  0.00692329 -0.02049502  0.03621055],"(array([-0.01003972, -0.00153841, -0.05302846,  0.02792018]), array([0.0226385 , 0.01538499, 0.01203843, 0.04450093]))",0.7392405024504871,[0.00993347 0.00514435 0.01977893 0.00504019]
ap,KNN,[[-0.00402041  0.00446088 -0.03973325  0.03009627]],"[[[-0.00929397  0.00125314]]

 [[-0.00025044  0.00917221]]

 [[-0.04963705 -0.02982946]]

 [[ 0.02622759  0.03396496]]]",[[ 0.02350232  0.02848663 -0.00759152  0.06207362]],"[[[ 0.01533509  0.03166955]]

 [[ 0.02053986  0.0364334 ]]

 [[-0.01856622  0.00338318]]

 [[ 0.05474667  0.06940057]]]",[ 0.00734615  0.0048687  -0.03337107  0.02877384],"(array([-0.00362954, -0.00135403, -0.0655538 ,  0.02236771]), array([ 0.01832184,  0.01109144, -0.00118834,  0.03517997]))",0.6066908918755277,[0.00667275 0.00378315 0.01956571 0.00389465]
ap,SVM,[[-0.00402041  0.00446088 -0.03973325  0.03009627]],"[[[-0.00929397  0.00125314]]

 [[-0.00025044  0.00917221]]

 [[-0.04963705 -0.02982946]]

 [[ 0.02622759  0.03396496]]]",[[ 0.00186199  0.02526787 -0.02494755  0.05897757]],"[[[-0.00696065  0.01068463]]

 [[ 0.01800629  0.03252944]]

 [[-0.03755564 -0.01233945]]

 [[ 0.05235849  0.06559664]]]",[ 0.00210664  0.00196308 -0.04319181  0.02777703],"(array([-0.00898819, -0.00322022, -0.08915718,  0.02245273]), array([0.01320147, 0.00714638, 0.00277355, 0.03310133]))",0.5510967066686959,[0.00674518 0.00315122 0.02794496 0.00323695]
ap,NB,[[-0.00402041  0.00446088 -0.03973325  0.03009627]],"[[[-0.00929397  0.00125314]]

 [[-0.00025044  0.00917221]]

 [[-0.04963705 -0.02982946]]

 [[ 0.02622759  0.03396496]]]",[[ 0.00339808  0.01774643 -0.06567798  0.07988662]],"[[[-0.0088343   0.01563047]]

 [[ 0.00687708  0.02861578]]

 [[-0.09470834 -0.03664763]]

 [[ 0.07068817  0.08908506]]]",[ 0.00243787  0.00279409 -0.0470586   0.02719321],"(array([-0.00898499, -0.00280343, -0.10794117,  0.02155602]), array([0.01386073, 0.00839161, 0.01382398, 0.03283041]))",0.44116076570310064,[0.00694461 0.00340305 0.03701398 0.00342717]
ap,gpt4_zs,[[-0.0047999   0.00608686 -0.03726712  0.03103624]],"[[[-0.01044835  0.00084855]]

 [[ 0.00118828  0.01098545]]

 [[-0.047231   -0.02730323]]

 [[ 0.02695173  0.03512075]]]",[[-0.01461749  0.01299201 -0.0357822   0.03937433]],"[[[-0.02226959 -0.00696538]]

 [[ 0.00761107  0.01837295]]

 [[-0.04676041 -0.02480399]]

 [[ 0.03469049  0.04405817]]]",[-0.00617769  0.00204367 -0.03439753  0.02744126],"(array([-0.02148133, -0.00338824, -0.06005148,  0.02210626]), array([ 0.00912595,  0.00747558, -0.00874358,  0.03277627]))",0.5066550772403666,[0.00930395 0.00330237 0.01559649 0.00324345]
up,KNN,[[0.03181014 0.02908876 0.00743446 0.05327165]],"[[[ 0.02510541  0.03851488]]

 [[ 0.02230175  0.03587577]]

 [[-0.00052551  0.01539443]]

 [[ 0.04691185  0.05963145]]]",[[0.02176517 0.03131668 0.00714896 0.06588896]],"[[[ 0.0133687   0.03016165]]

 [[ 0.02334397  0.03928939]]

 [[-0.00228493  0.01658286]]

 [[ 0.05847097  0.07330696]]]",[0.04250741 0.03840655 0.01566851 0.06347704],"(array([ 0.02646015,  0.02410815, -0.00467329,  0.04930075]), array([0.05855467, 0.05270494, 0.03601031, 0.07765333]))",0.07182991974311043,[0.00975604 0.00869281 0.01236694 0.00861857]
up,SVM,[[0.03181014 0.02908876 0.00743446 0.05327165]],"[[[ 0.02510541  0.03851488]]

 [[ 0.02230175  0.03587577]]

 [[-0.00052551  0.01539443]]

 [[ 0.04691185  0.05963145]]]",[[0.05676971 0.07376455 0.04393287 0.10714155]],"[[[0.04084796 0.07269146]]

 [[0.05823662 0.08929249]]

 [[0.02745245 0.0604133 ]]

 [[0.09182143 0.12246166]]]",[0.04562489 0.04457755 0.01887589 0.06775187],"(array([ 0.02883986,  0.0292373 , -0.00023051,  0.05240115]), array([0.06240992, 0.0599178 , 0.0379823 , 0.08310259]))",0.8510484754913328,[0.01020458 0.00932621 0.01161587 0.00933258]
